service,language,alert,prompt,count,latest,age_days,stale
chatgpt,amharic,911_outage,prompt_chain_of_translation_360.txt,20,2026-04-13,1,
chatgpt,amharic,911_outage,prompt_chain_of_translation_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,911_outage,prompt_cross_lingual_alignment_360.txt,20,2026-04-13,1,
chatgpt,amharic,911_outage,prompt_cross_lingual_alignment_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,911_outage,prompt_one_shot_360.txt,20,2026-04-13,1,
chatgpt,amharic,911_outage,prompt_one_shot_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,911_outage,prompt_persona_360.txt,20,2026-04-13,1,
chatgpt,amharic,911_outage,prompt_persona_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,911_outage,prompt_simple_360.txt,20,2026-04-13,1,
chatgpt,amharic,911_outage,prompt_simple_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,911_outage,translate_911_outage.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,prompt_chain_of_translation_360.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,prompt_chain_of_translation_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,prompt_cross_lingual_alignment_360.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,prompt_cross_lingual_alignment_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,prompt_one_shot_360.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,prompt_one_shot_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,prompt_persona_360.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,prompt_persona_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,prompt_simple_360.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,prompt_simple_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,boil_water_notice,translate_boil_water_notice.txt,20,2026-04-13,1,
chatgpt,amharic,extreme_wind,prompt_chain_of_translation_360.txt,20,2026-04-13,1,
chatgpt,amharic,extreme_wind,prompt_chain_of_translation_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,extreme_wind,prompt_cross_lingual_alignment_360.txt,20,2026-04-13,1,
chatgpt,amharic,extreme_wind,prompt_cross_lingual_alignment_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,extreme_wind,prompt_one_shot_360.txt,20,2026-04-13,1,
chatgpt,amharic,extreme_wind,prompt_one_shot_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,extreme_wind,prompt_persona_360.txt,20,2026-04-13,1,
chatgpt,amharic,extreme_wind,prompt_persona_nolimit.txt,20,2026-04-13,1,
chatgpt,amharic,extreme_wind,prompt_simple_360.txt,20,2026-04-13,1,
