language,chatgpt,deepL,deepseek,gemini,google_translate,TOTAL
amharic,1095,0,110,990,100,2295
arabic,1270,120,395,1262,150,3197
burmese,110,10,55,0,10,185
cambodian,1100,0,111,990,100,2301
chinese_simplified,1190,110,169,1080,120,2669
chinese_traditional,1270,115,282,1260,150,3077
chuukese,110,0,109,0,10,229
french,1100,95,110,990,100,2395
german,1095,95,55,990,100,2335
haitian_creole,1268,15,262,1261,150,2956
hebrew,110,10,110,0,10,240
hindi,1160,15,114,1050,110,2449
hmong,420,0,55,330,40,845
italian,110,10,165,0,15,300
japanese,1100,95,110,990,100,2395
karen,111,0,55,1,10,177
korean,1043,110,111,1080,115,2459
lao,110,0,66,0,10,186
marshallese,1087,0,110,987,100,2284
nepali,110,10,55,0,10,185
oromo,427,15,55,330,40,867
pashto,110,10,110,0,10,240
portuguese,1100,0,110,990,100,2300
punjabi,1100,15,110,990,100,2315
russian,1220,110,121,1108,121,2680
samoan,663,0,110,987,100,1860
somali,1085,0,110,990,100,2285
spanish,1270,120,498,1309,150,3347
swahili,440,15,110,330,40,935
tagalog,1159,15,115,1046,110,2445
tamil,110,10,110,0,10,240
telegu,1100,15,110,991,100,2316
thai,110,10,55,0,10,185
tigrinya,1061,0,110,990,100,2261
turkish,440,40,110,330,40,960
ukrainian,1220,110,110,1109,120,2669
urdu,1100,15,110,990,100,2315
vietnamese,1270,60,257,1260,150,2997
