schema,service,language,event,prompt,row_count,rows_with_placeholders,total_placeholder_count,unique_placeholder_count,placeholder_tokens
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,prompt_chain_of_translation_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,prompt_chain_of_translation_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,prompt_cross_lingual_alignment_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,prompt_cross_lingual_alignment_nolimit.txt,20,20,59,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,prompt_one_shot_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,prompt_one_shot_nolimit.txt,20,20,71,14,"[""[ LOCATION ]"", ""[ SENDING AGENCY ]"", ""[ TIME ]"", ""[ URL ]"", ""[LOCATION]"", ""[SENDING AGENCY]"", ""[TIME]"", ""[URL]"", ""[ላከው ኤጀንሲ]"", ""[ልክ ላከ የአገልግሎት አካል]"", ""[ልክ የላከ ኤጀንሲ]"", ""[ልክ የሚላክ ኤጀንሲ]"", ""[ልክ የሚሰደድ ድርጅት]"", ""[ልጥፍ የሚል ኤጀንሲ]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,prompt_persona_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,prompt_persona_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,prompt_simple_360.txt,20,2,2,2,"[""[ቁጥር እዚህ አስገባ]"", ""[ድንገተ-ፎን ቁጥር]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,prompt_simple_nolimit.txt,20,1,1,1,"[""[ተጨማሪ አስተያየት ቁጥር]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,911_outage,translate_911_outage.txt,20,20,59,7,"[""[LOCATION]"", ""[SENDING AGENCY]"", ""[URL]"", ""[ልከዋል የሚል ኤጀንሲ]"", ""[መላኪያ ኤጀንሲ]"", ""[ተልዕኮ የሚላክ ኤጀንሲ]"", ""[የላኪ ኤጀንሲ]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,prompt_chain_of_translation_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,prompt_chain_of_translation_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,prompt_cross_lingual_alignment_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,prompt_cross_lingual_alignment_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,prompt_one_shot_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,prompt_one_shot_nolimit.txt,20,20,61,4,"[""[LOCATION]"", ""[TIME]"", ""[URL]"", ""[ልክልክ የላከ ኤጀንሲ]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,prompt_persona_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,prompt_persona_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,prompt_simple_360.txt,20,0,0,0,[]
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,prompt_simple_nolimit.txt,20,0,0,0,[]
chatgpt_gemini_deepseek,chatgpt,Amharic,boil_water_notice,translate_boil_water_notice.txt,20,20,79,4,"[""[LOCATION]"", ""[SENDING AGENCY]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,prompt_chain_of_translation_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,prompt_chain_of_translation_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,prompt_cross_lingual_alignment_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,prompt_cross_lingual_alignment_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,prompt_one_shot_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,prompt_one_shot_nolimit.txt,20,20,77,13,"[""[LOCATION]"", ""[SENDING AGENCY]"", ""[TIME]"", ""[URL]"", ""[ላከ ኤጀንሲ]"", ""[ላከ ድርጅት]"", ""[ላከው ተቋም]"", ""[ላከው አካል]"", ""[ላከው ኤጀንሲ]"", ""[ላከው የኤጀንሲ ስም]"", ""[ላኪ ኤጀንሲ]"", ""[በላኪ ድርጅት]"", ""[ተላላፊ ኤጀንሲ]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,prompt_persona_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,prompt_persona_nolimit.txt,20,20,59,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,prompt_simple_360.txt,20,0,0,0,[]
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,prompt_simple_nolimit.txt,17,0,0,0,[]
chatgpt_gemini_deepseek,chatgpt,Amharic,extreme_wind,translate_extreme_wind.txt,20,20,79,6,"[""[LOCATION]"", ""[SENDING AGENCY]"", ""[TIME]"", ""[URL]"", ""[ላከ ያለው ኤጀንሲ]"", ""[የላኪ ኤጀንሲ]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,prompt_chain_of_translation_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,prompt_chain_of_translation_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,prompt_cross_lingual_alignment_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,prompt_cross_lingual_alignment_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,prompt_one_shot_360.txt,20,20,61,4,"[""[LOCATION]"", ""[TIME]"", ""[URL]"", ""[ላክ የሚችል ኤጀንሲ]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,prompt_one_shot_nolimit.txt,20,20,76,12,"[""[LOCATION]"", ""[TIME]"", ""[URL]"", ""[ላከው አድራጊ]"", ""[ላከው ኤጀንሲ]"", ""[ላከው ድርጅት]"", ""[ላኪ ድርጅት]"", ""[ልክ ላይ ያሉ ባለሥልጣናት]"", ""[ልክ አቅርቦት ባለማህበር]"", ""[ልክውን የሚላክ ኤጀንሲ]"", ""[ልጣኔ ያደረገ ኤጀንሲ]"", ""[በላኪ ኤጀንሲ]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,prompt_persona_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,prompt_persona_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,prompt_simple_360.txt,20,2,2,1,"[""[አካባቢ ስም]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,prompt_simple_nolimit.txt,20,1,1,1,"[""[ቦታ]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,fire,translate_fire.txt,20,20,98,8,"[""[ LOCATION ]"", ""[ SENDING AGENCY ]"", ""[ TIME ]"", ""[ URL ]"", ""[LOCATION]"", ""[SENDING AGENCY]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,prompt_chain_of_translation_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,prompt_chain_of_translation_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,prompt_cross_lingual_alignment_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,prompt_cross_lingual_alignment_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,prompt_one_shot_360.txt,20,20,61,4,"[""[LOCATION]"", ""[TIME]"", ""[URL]"", ""[ላከው ተቋም]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,prompt_one_shot_nolimit.txt,20,20,77,14,"[""[LOCATION]"", ""[TIME]"", ""[URL]"", ""[ላከ ድርጅት]"", ""[ላከው አካል]"", ""[ላከው ኤጀንሲ]"", ""[ላከው ድርጅት]"", ""[ላኪ አንድ አካል]"", ""[ላክኛ ድርጅት]"", ""[ልክ የላክ ኤጀንሲ]"", ""[ልክ የሚሰጥ የአጋጣሚ አሳየት]"", ""[ልጥፍ የሚላከው ድርጅት]"", ""[ተላላፊ ኤጀንሲ]"", ""[እየተላለፈ ያለ ኤጀንሲ]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,prompt_persona_360.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,prompt_persona_nolimit.txt,20,20,60,3,"[""[LOCATION]"", ""[TIME]"", ""[URL]""]"
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,prompt_simple_360.txt,18,0,0,0,[]
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,prompt_simple_nolimit.txt,20,0,0,0,[]
chatgpt_gemini_deepseek,chatgpt,Amharic,flood,translate_flood.txt,20,20,79,7,"[""[LOCATION]"", ""[SENDING AGENCY]"", ""[TIME]"", ""[URL]"", ""[ላከው ድርጅት]"", ""[ላኪ ኤጀንሲ]"", ""[ልክልከላ እንከን]""]"
